Rep,LDS2,LDS3,LDS4,LDS5,LDS6,NSUB1,NSUB2,NSUB3,NSUB4,NSUB5,CF1,CF2,CF3,CF4,CF5,CF6,CF7,CF8,AFE1,AFE2,AFE4,AFE5,APF1,APF2,APF3,APF4,APF5,APF6,IEIP1,IEIP2,IEIP3,IEIP4,MOT1,MOT2,MOT3,MOT4,MOT5,MOT6,MOT7,MOT8,MOT9,INTU1
151,4,3,2,4,1,2,1,1,3,3,1,4,1,2,3,1,3,4,3,4,5,4,3,1,2,5,5,3,4,5,2,1,3,4,4,1,4,4,4,5,1,3
152,5,3,5,4,4,4,3,3,2,5,4,1,1,5,5,5,5,5,3,2,5,4,3,3,5,5,5,3,5,5,5,2,4,5,5,5,5,5,4,5,5,5
153,4,3,3,4,2,3,3,4,5,5,5,5,1,5,5,4,5,2,5,4,5,5,5,4,3,5,5,4,5,5,5,1,2,5,4,3,3,5,5,5,5,4
154,4,3,3,5,3,3,4,1,3,1,3,3,1,5,5,3,4,4,3,5,5,3,3,5,4,5,5,3,3,5,4,3,3,4,5,3,4,5,5,5,4,4
155,5,5,5,5,1,5,2,5,3,5,5,5,1,5,5,5,5,1,3,3,3,5,5,5,5,5,3,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5
156,4,3,3,3,3,3,3,2,4,4,4,3,1,5,5,3,5,4,3,2,4,4,3,4,4,4,3,4,4,5,4,2,3,4,5,4,4,4,4,5,4,4
157,5,3,4,4,2,5,3,3,3,4,4,2,2,4,5,5,4,4,3,3,3,3,3,3,4,4,4,3,5,5,4,2,3,4,5,3,5,5,5,5,4,5
158,3,2,3,4,4,3,3,2,3,4,4,4,1,4,4,3,4,3,2,3,4,2,3,3,4,4,4,3,4,5,4,3,4,4,4,2,4,4,4,4,3,3
159,4,3,3,4,3,4,2,1,2,3,4,4,2,4,5,5,5,4,4,2,3,5,3,4,4,4,5,3,5,4,4,3,4,2,4,5,4,5,4,5,4,4
160,4,3,4,3,4,5,3,3,3,4,2,4,1,4,5,2,4,2,2,4,1,4,2,2,4,4,4,3,4,4,4,3,2,4,4,4,4,5,4,4,4,3
161,5,3,4,3,3,5,2,2,1,3,3,5,2,3,3,3,3,3,3,3,2,5,3,3,3,2,3,3,4,3,3,3,3,3,2,2,3,5,3,3,3,3
162,4,4,4,5,4,3,3,3,3,3,4,2,1,5,5,4,3,3,3,3,3,5,3,3,3,3,5,3,5,5,4,2,3,4,5,3,5,4,5,5,3,3
163,3,3,4,4,1,3,2,2,3,3,3,4,1,3,4,2,3,2,2,3,5,3,2,3,2,2,2,2,5,4,3,2,3,4,3,3,3,4,4,2,3,3
164,3,3,4,3,3,4,3,4,3,4,5,4,1,4,5,3,4,4,4,3,5,3,3,2,4,4,5,3,4,5,4,2,2,4,5,5,4,5,5,5,4,4
165,4,5,4,4,2,3,4,2,4,3,5,3,1,4,5,2,5,4,1,3,4,4,3,5,4,5,5,5,4,3,5,1,4,4,4,5,4,4,5,4,4,5
166,3,3,3,3,3,3,3,4,3,4,5,2,1,4,5,4,5,5,3,2,5,4,3,5,5,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5
167,4,3,3,2,2,4,2,3,4,3,4,2,1,4,5,3,3,3,3,2,4,4,3,3,3,4,4,3,4,4,4,2,3,3,4,3,4,5,4,4,3,4
168,4,3,4,3,2,3,3,2,3,4,4,2,1,5,5,3,5,4,3,3,4,4,3,4,5,5,5,4,4,5,5,2,4,4,5,4,4,4,5,5,5,5
169,5,4,4,3,3,4,3,3,3,3,5,4,1,4,3,3,4,4,4,3,4,1,5,5,4,4,4,3,5,5,3,2,3,4,5,4,4,5,5,5,3,4
170,4,3,2,2,2,1,2,2,5,5,5,3,2,5,5,5,5,4,4,1,5,1,5,3,5,5,5,4,5,5,5,3,5,5,5,5,4,5,5,5,5,4
171,1,1,4,4,3,4,1,1,4,5,3,3,4,1,5,3,1,5,1,4,3,5,4,2,5,3,3,4,5,2,2,3,5,3,2,3,2,5,4,5,3,4
172,5,5,4,4,4,5,4,4,4,3,5,4,1,5,3,3,5,1,5,4,5,4,3,3,5,4,5,4,5,5,3,1,4,5,4,3,4,5,4,5,3,4
173,2,4,3,3,2,4,3,3,3,3,4,2,5,3,3,2,3,4,3,4,5,2,2,3,3,4,4,3,5,4,3,2,3,4,4,3,3,5,3,5,3,3
174,5,4,4,3,2,3,1,4,4,5,5,3,1,4,5,5,5,4,5,1,4,5,5,4,5,5,5,4,5,4,5,1,5,4,5,5,4,5,4,5,5,5
175,4,4,4,5,4,4,3,2,4,4,4,4,1,4,5,4,5,5,3,2,5,5,5,2,5,5,5,4,5,5,5,3,3,4,5,4,5,5,5,5,5,4
176,4,2,3,4,3,3,2,3,3,4,4,4,2,4,4,4,3,3,3,4,2,2,4,3,3,5,4,3,5,5,4,2,3,4,4,3,4,1,3,5,4,4
177,3,2,4,4,4,1,4,2,2,3,4,4,5,3,4,2,3,2,4,4,2,4,4,4,2,4,4,4,4,2,4,4,2,4,4,2,4,1,4,4,3,4
178,4,1,3,2,1,3,2,4,2,5,5,2,1,5,5,5,5,4,5,3,1,5,5,4,5,5,4,5,5,5,5,1,3,5,5,5,5,5,4,5,5,5
179,5,3,4,4,3,4,2,1,1,3,4,2,1,5,5,4,5,4,4,4,5,5,3,3,3,5,5,3,4,5,4,5,4,5,5,4,5,5,5,5,5,5
180,3,3,3,4,3,4,2,1,5,5,5,3,2,3,5,3,3,5,3,3,3,1,3,4,4,5,5,4,5,5,5,2,4,4,5,4,4,5,5,5,5,4
181,4,4,2,4,4,4,3,3,2,4,4,3,1,3,4,3,4,2,2,3,4,5,2,2,3,4,4,2,4,3,4,3,2,3,4,2,3,5,4,4,2,2
182,5,3,3,4,3,3,3,2,4,4,5,3,1,4,5,5,4,3,3,2,1,5,4,3,5,5,5,4,5,5,4,4,4,4,4,4,4,5,5,5,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
