Rep,LDS2,LDS3,LDS4,LDS5,LDS6,NSUB1,NSUB2,NSUB3,NSUB4,NSUB5,CF1,CF2,CF3,CF4,CF5,CF6,CF7,CF8,AFE1,AFE2,AFE4,AFE5,APF1,APF2,APF3,APF4,APF5,APF6,IEIP1,IEIP2,IEIP3,IEIP4,MOT1,MOT2,MOT3,MOT4,MOT5,MOT6,MOT7,MOT8,MOT9,INTU1
83,3,4,4,4,4,5,3,2,4,4,4,3,4,4,4,3,4,3,3,3,4,4,3,3,4,4,4,3,4,4,3,3,3,3,4,2,3,5,4,5,4,4
84,5,3,3,5,5,5,2,3,4,5,4,4,1,5,4,5,4,2,3,3,5,4,3,3,5,5,5,3,5,5,4,4,4,5,4,3,4,5,4,5,5,5
85,3,3,3,3,3,3,3,1,1,3,4,2,2,4,5,3,4,4,4,2,5,2,4,3,3,5,4,3,4,5,4,1,3,4,4,3,4,5,3,4,5,4
86,5,3,4,5,1,4,3,3,1,3,4,4,1,5,4,3,5,4,3,2,5,1,3,3,5,3,5,3,4,4,3,1,3,4,5,3,4,5,5,5,4,4
87,5,3,2,5,4,3,3,4,5,5,5,4,1,5,4,5,4,2,4,3,5,4,3,3,5,5,5,3,5,5,3,1,4,5,5,3,5,5,5,5,5,4
88,4,4,4,4,4,5,3,4,4,4,4,4,2,5,5,4,5,3,5,3,3,3,5,4,4,5,5,4,4,5,5,1,3,4,4,3,4,5,5,4,5,5
89,4,4,4,3,4,4,3,2,4,4,4,4,1,5,5,4,4,3,5,2,5,4,4,4,5,5,4,4,5,5,2,2,4,5,5,4,4,5,4,4,4,4
90,3,4,3,3,3,3,3,3,4,4,4,3,1,5,4,3,4,3,3,4,5,4,3,1,4,4,5,3,4,5,4,3,3,4,4,3,3,4,4,4,5,3
91,3,3,3,2,3,3,3,1,1,3,5,4,1,5,5,3,3,3,3,3,5,4,3,1,5,5,5,2,5,5,2,1,5,3,5,3,4,5,4,5,5,3
92,3,3,3,5,3,4,3,2,3,4,4,2,1,5,4,3,5,2,2,2,5,4,2,2,5,4,5,3,4,5,5,1,3,4,4,3,3,4,4,5,5,3
93,4,4,2,4,4,4,2,4,4,2,4,4,1,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,2,2,4,4,4,4,4,4,5,4,4
94,4,4,4,4,2,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4
95,2,3,3,2,2,4,2,2,3,3,4,4,2,5,4,4,2,4,3,2,4,4,4,4,4,4,4,2,5,4,2,2,3,3,5,2,2,4,4,4,5,4
96,2,3,4,2,3,3,2,2,4,4,5,3,3,4,5,4,4,2,3,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
97,4,3,4,5,2,4,2,2,4,4,4,3,3,5,5,3,4,4,3,3,4,4,3,3,3,5,4,3,5,4,3,4,3,4,4,3,4,5,4,5,4,4
98,4,3,3,2,4,4,4,4,5,4,4,4,1,5,4,5,4,4,4,3,4,3,4,4,5,5,5,4,4,5,5,2,4,4,4,4,4,4,4,5,4,3
99,4,3,4,3,2,4,3,1,3,5,5,2,1,5,5,4,5,4,5,2,5,5,5,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5
100,4,3,5,3,1,3,1,5,2,5,5,4,1,5,5,5,5,5,5,2,5,3,3,5,5,5,5,4,5,5,5,1,5,5,5,5,5,5,5,5,5,5
101,4,3,4,4,4,4,3,4,4,4,4,2,2,5,4,3,3,4,3,3,5,4,3,2,3,3,3,3,5,4,4,4,3,5,3,4,4,5,4,5,5,5
102,5,3,3,3,2,4,3,2,5,5,4,3,2,5,5,3,4,4,2,1,5,3,3,4,5,5,5,4,5,4,4,2,4,4,4,3,4,4,4,5,4,5
103,3,3,2,3,4,3,3,4,5,5,2,2,1,5,4,2,4,4,1,2,2,2,1,1,5,5,5,1,2,4,4,2,4,5,5,4,3,5,4,5,4,3
104,4,4,4,5,5,4,3,3,4,3,4,4,2,4,4,4,3,3,4,3,3,4,4,3,4,5,5,3,5,5,3,3,3,4,4,3,3,5,5,5,4,3
105,4,3,4,3,4,4,2,2,2,2,3,4,1,5,4,4,3,4,2,2,2,3,3,2,2,5,4,2,5,3,2,4,3,3,5,3,3,4,5,5,4,3
106,4,3,3,3,1,4,3,1,1,3,5,1,1,5,5,5,5,5,3,3,5,5,5,3,5,5,5,5,5,3,5,3,5,5,5,3,5,5,5,5,5,5
107,4,3,3,2,3,4,3,4,4,4,4,3,1,5,5,4,4,4,4,3,4,3,4,4,4,5,5,4,4,5,5,3,3,4,4,3,4,4,4,4,3,4
108,5,5,5,4,3,4,1,3,3,3,4,4,2,5,4,5,5,3,5,2,3,5,3,3,5,4,4,4,4,5,4,3,4,4,5,4,4,5,4,5,4,3
109,2,2,2,3,3,3,3,2,2,3,3,3,3,5,4,3,3,2,3,2,5,3,2,3,3,4,3,3,4,4,2,2,1,2,2,2,3,3,4,4,2,2
110,2,3,3,2,1,3,3,3,2,4,4,1,1,4,4,2,4,3,3,1,5,4,3,3,4,4,4,3,4,4,5,3,4,4,5,4,4,5,4,5,4,4
111,4,3,3,4,1,3,2,5,4,5,5,4,2,4,5,2,3,3,3,2,3,4,3,3,3,3,3,4,4,4,4,5,3,4,5,5,3,5,4,4,5,4
112,2,3,1,3,3,3,3,2,1,4,3,1,2,5,5,1,5,3,3,5,5,3,3,3,5,3,5,3,3,5,3,1,3,5,4,5,3,4,5,5,3,1
113,3,3,2,3,3,3,2,3,2,3,2,4,3,2,2,2,3,3,3,1,5,3,2,1,3,3,4,1,4,2,2,4,2,2,3,3,2,4,3,4,3,1
114,4,3,3,4,2,4,3,5,2,5,3,4,1,5,5,4,5,5,3,4,5,4,3,3,5,4,5,3,5,5,5,1,3,4,4,4,4,4,5,4,4,4
115,3,4,2,3,2,3,2,2,1,4,4,3,1,5,4,3,4,3,3,1,5,2,3,3,4,4,4,3,5,5,4,2,4,4,4,4,4,4,4,4,4,4
116,4,4,3,3,2,4,3,2,3,3,4,2,1,5,4,3,4,2,3,4,4,4,3,3,4,5,5,3,4,5,4,2,4,5,3,4,4,5,5,5,4,4
