ID;Pays;Poste;Région;Experience;Age;Sexe;Tremal exclusif;Maillant exclusif;Polyvalent trémail;Polyvalent maillant;AFE1;AFE2;AFE3.1;AFE3.2;AFE3.3;AFE3.4;AFE3.5;AFE4;AFE5;AFP1;AFP2;AFP3;AFP4;AFP5;AFP6;C2;C3;C4.1;C4.2;C4.3;C4.4;C4.5;C4.6;C4.7;C4.8;C4.9;CF1;CF2;CF3;CF4;CF5;CF6;CF7;CF8;IEIP1;IEIP2;IEIP3;IEIP4;INTU1;LDS1;LDS2;LDS3;LDS4;LDS5;LDS6;MOT1;MOT21;MOT3;MOT4;MOT5;MOT6;MOT7;MOT8;MOT9;NSUB1;NSUB2;NSUB3;NSUB4;NSUB5;NSUB6.1;NSUB6.10;NSUB6.11;NSUB6.12;NSUB6.13;NSUB6.2;NSUB6.3;NSUB6.4;NSUB6.5;NSUB6.6;NSUB6.7;NSUB6.8;NSUB6.9;UP2.1;UP2.2;UP2.3;UP2.4;UP2.5
FR314;FR;Armateur;Erreur;Plus de 20 ans;45-54;Homme;Non;Non;Non;Non;3;3;3;3;3;3;3;4;1;3;3;4;5;5;3;1;2;4;5;5;5;5;5;4;3;3;3;3;4;5;4;4;4;3;5;4;3;2;3;1;1;3;2;2;2;3;4;4;3;4;5;4;5;4;4;3;2;3;4;4;4;3;5;5;3;5;2;2;2;5;1;5;3;2;4;1;5
FR315;FR;Patron-pecheur;Normandie;Plus de 20 ans;55-64;Homme;Non;Non;Non;Non;4;3;2;2;2;2;3;4;2;4;4;4;5;5;4;3;2;4;4;4;3;4;4;3;4;4;4;4;3;5;5;5;4;4;5;5;4;4;4;1;4;4;4;2;4;4;5;4;4;4;5;4;5;5;4;3;2;4;3;5;5;3;3;5;5;5;3;3;3;3;4;4;2;1;3;5;4
EN1;EN;Armateur et patron-pecheur;Angleterre;;;;;;;;3;3;4;4;4;4;4;3;2;3;3;4;4;4;3;3;2;5;5;5;3;4;5;4;5;5;4;2;4;4;4;3;4;4;4;4;4;3;3;2;2;3;3;2;2;3;4;4;2;3;4;4;4;4;4;2;3;3;4;4;4;4;4;5;2;4;4;4;3;4;2;4;4;1;2;3;5
EN2;EN;Armateur et patron-pecheur;Angleterre;Moins de 5 ans;55-64;Homme;;;;;5;1;1;1;1;1;4;3;1;3;3;5;5;5;3;2;5;3;3;5;3;2;5;1;2;5;4;4;1;5;5;5;5;3;4;4;5;4;5;1;3;4;4;4;3;4;4;5;5;4;5;4;5;5;3;3;3;3;4;3;3;4;5;5;4;3;3;3;3;5;2;4;5;3;4;2;1
EN3;EN;Armateur et patron-pecheur;Angleterre;Plus de 20 ans;;Homme;;;;;3;2;2;3;2;2;4;3;2;3;2;4;4;3;3;5;5;4;4;4;2;4;4;2;3;2;4;2;3;4;4;3;4;2;4;4;3;3;4;1;4;3;3;2;2;3;4;4;2;2;4;4;4;4;4;4;3;3;3;4;4;3;4;5;4;4;3;3;3;3;2;4;1;3;2;4;5
EN4;EN;Armateur et patron-pecheur;Angleterre;Plus de 20 ans;55-64;Homme;;;;;2;2;5;4;4;4;4;2;3;2;3;2;2;2;3;1;1;4;4;4;5;5;5;4;5;2;4;2;5;2;4;4;4;3;4;4;2;4;3;2;3;2;3;3;3;3;3;2;3;3;4;4;4;2;3;3;2;2;2;3;3;3;3;5;3;3;1;2;3;3;2;3;1;2;3;4;5
EN6;EN;Armateur et patron-pecheur;Angleterre;Plus de 20 ans;35-44;Homme;;;;;3;2;3;3;3;3;5;5;2;3;1;2;5;5;3;3;1;4;3;4;3;1;5;4;5;5;1;2;5;2;3;1;3;4;4;5;2;5;3;1;4;3;2;2;5;3;4;4;1;4;4;4;5;1;2;1;1;3;3;1;3;3;3;5;1;1;1;1;1;4;3;5;3;2;1;5;4
EN7;EN;Patron-pecheur;Angleterre;Plus de 20 ans;;Homme;;;;;3;4;3;3;3;3;4;5;2;3;3;5;5;5;3;4;3;4;4;4;4;4;4;4;5;4;4;5;5;5;5;5;5;5;5;5;5;4;5;2;5;3;5;2;2;4;5;5;5;5;5;4;5;5;4;3;3;2;5;4;4;4;5;5;4;4;4;4;4;4;4;4;2;3;4;1;5
EN8;EN;Armateur et patron-pecheur;Angleterre;;18-24;Homme;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;4;5
EN9;EN;Armateur et patron-pecheur;Angleterre;Moins de 5 ans;;Homme;;;;;5;2;2;3;3;3;5;5;1;5;4;3;5;5;4;6;3;5;5;5;1;1;1;1;5;4;5;1;5;5;5;4;5;2;5;5;5;5;4;2;4;3;3;2;4;2;5;4;3;3;5;5;5;5;3;3;4;5;5;3;5;4;5;5;3;4;3;3;3;4;5;5;2;1;3;4;5
